Run ID,Ave Life-months,Lifetime Costs,Month 0 New TB infections,Month 1 New TB infections,Month 2 New TB infections,Month 3 New TB infections,Month 4 New TB infections,Month 5 New TB infections,Month 6 New TB infections,Month 7 New TB infections,Month 8 New TB infections,Month 9 New TB infections,Month 10 New TB infections,Month 11 New TB infections,Month 12 New TB infections,Month 13 New TB infections,Month 14 New TB infections,Month 15 New TB infections,Month 16 New TB infections,Month 17 New TB infections,Month 18 New TB infections,Month 19 New TB infections,Month 20 New TB infections,Month 21 New TB infections,Month 22 New TB infections,Month 23 New TB infections,Month 24 New TB infections,Month 25 New TB infections,Month 26 New TB infections,Month 27 New TB infections,Month 28 New TB infections,Month 29 New TB infections,Month 30 New TB infections,Month 31 New TB infections,Month 32 New TB infections,Month 33 New TB infections,Month 34 New TB infections,Month 35 New TB infections,Month 0 TB activations,Month 1 TB activations,Month 2 TB activations,Month 3 TB activations,Month 4 TB activations,Month 5 TB activations,Month 6 TB activations,Month 7 TB activations,Month 8 TB activations,Month 9 TB activations,Month 10 TB activations,Month 11 TB activations,Month 12 TB activations,Month 13 TB activations,Month 14 TB activations,Month 15 TB activations,Month 16 TB activations,Month 17 TB activations,Month 18 TB activations,Month 19 TB activations,Month 20 TB activations,Month 21 TB activations,Month 22 TB activations,Month 23 TB activations,Month 24 TB activations,Month 25 TB activations,Month 26 TB activations,Month 27 TB activations,Month 28 TB activations,Month 29 TB activations,Month 30 TB activations,Month 31 TB activations,Month 32 TB activations,Month 33 TB activations,Month 34 TB activations,Month 35 TB activations
0,434.9609,20838.97,54163,39124,39975,40196,39809,39381,39627,39048,38945,39144,38943,39136,38745,38192,38299,38412,38171,38369,37398,37853,37459,37522,37301,37636,37068,37019,37134,36888,36377,36600,36018,36006,36034,35760,35880,35476,3454,2776,2727,2823,2859,2909,2962,3004,3136,3047,3266,3265,3240,3239,3408,3477,3492,3481,3604,3512,3633,3599,3642,3707,3702,3762,3745,3832,4026,3931,3928,4013,4137,4123,4139,4203
1,436.6367,20919.66,51124,21702,23627,23841,23705,23430,23743,23455,23298,23451,23477,23642,23276,23198,23226,23553,23368,23393,22958,23272,23262,23178,22848,23284,23077,23210,23422,23318,22789,23039,22927,22874,22899,22771,22841,22608,3487,1693,1701,1765,1726,1745,1843,1842,1902,1820,1976,1957,1910,1872,2044,2030,2114,2064,2112,2064,2103,2076,2134,2148,2116,2181,2162,2182,2265,2241,2214,2247,2332,2377,2380,2367
2,438.5119,21001.5,45599,28034,29335,29566,29164,28924,29261,28741,28711,28759,28824,29029,28625,28219,28508,28631,28481,28525,27961,28331,28160,28268,27804,28221,27876,28071,28222,28084,27541,27817,27396,27422,27494,27303,27350,27039,3547,2358,2359,2402,2385,2404,2489,2494,2571,2460,2638,2636,2567,2555,2702,2724,2730,2740,2802,2740,2799,2729,2801,2845,2821,2827,2864,2837,2971,2892,2906,2978,3038,3050,3090,3031
3,433.8107,20778.06,48099,21854,23605,23854,23676,23434,23709,23415,23305,23398,23376,23622,23206,23141,23210,23487,23319,23369,22910,23242,23193,23112,22832,23270,23060,23168,23355,23219,22738,22957,22804,22775,22783,22700,22728,22552,3798,1956,1976,2019,1986,2013,2133,2111,2194,2089,2246,2243,2177,2167,2327,2273,2388,2336,2415,2341,2408,2375,2381,2434,2404,2443,2431,2446,2565,2530,2526,2550,2627,2669,2693,2662
4,442.3929,21178.21,42358,22462,23786,23800,23693,23528,23711,23282,23203,23272,23252,23596,23130,22968,23179,23351,23245,23193,22778,23129,23040,23039,22622,23002,22778,22883,23123,22978,22590,22780,22509,22554,22505,22376,22366,22179,3113,1739,1725,1747,1782,1763,1826,1794,1848,1802,1886,1841,1876,1810,1919,1894,1900,1938,1932,1905,1958,1891,1950,1981,1957,2040,1984,1993,1995,1949,2010,2003,1979,2072,2132,2036
5,443.4435,21230.76,41757,17683,19254,19313,19258,19055,19219,18805,18701,18908,18967,19235,18825,18775,18730,19110,18916,18866,18619,18735,18833,18642,18315,18678,18491,18615,18880,18715,18328,18613,18473,18445,18368,18284,18259,18139,3327,1474,1545,1532,1562,1545,1608,1591,1626,1566,1599,1597,1630,1561,1651,1661,1655,1668,1656,1615,1693,1617,1676,1718,1644,1736,1693,1633,1677,1641,1689,1685,1619,1728,1802,1726
6,437.96,20983.08,46070,27505,28882,28895,28587,28475,28580,28007,27960,28022,28231,28300,28049,27655,27842,27994,27754,27830,27234,27632,27453,27489,27095,27512,27092,27204,27399,27147,26713,26999,26587,26568,26592,26432,26465,26162,5020,3183,3207,3224,3257,3216,3272,3327,3428,3275,3493,3397,3384,3363,3507,3478,3503,3525,3616,3525,3606,3545,3630,3615,3591,3694,3664,3603,3738,3616,3646,3743,3786,3765,3869,3718
7,441.3937,21128.38,58300,43589,44550,44892,44226,43820,44067,43440,43451,43581,43226,43402,42873,42500,42678,42551,42307,42472,41646,42054,41568,41713,41458,41680,41175,40875,41031,40898,40314,40403,39846,39938,39730,39548,39635,39325,1471,1224,1231,1254,1255,1328,1370,1399,1493,1421,1545,1574,1554,1563,1678,1665,1712,1772,1809,1793,1789,1774,1878,1905,1868,1967,1937,2000,2087,2009,2045,2141,2190,2214,2229,2225
8,434.632,20829.41,46799,25993,27431,27594,27213,27009,27328,26873,26825,26908,26907,27055,26645,26423,26595,26689,26612,26616,26095,26441,26282,26380,25911,26335,26025,26131,26350,26187,25713,25927,25558,25534,25632,25444,25530,25259,4748,2855,2863,2964,2954,2944,3036,3071,3137,3048,3265,3232,3134,3165,3307,3306,3376,3246,3442,3360,3388,3356,3371,3460,3432,3429,3499,3509,3658,3528,3584,3652,3771,3743,3715,3743
9,442.1922,21167.25,51682,29715,31263,31408,31116,30917,31223,30703,30684,30788,30654,31030,30479,30355,30489,30506,30612,30529,30001,30414,30149,30259,29852,30356,30071,29995,30195,30115,29560,29741,29462,29439,29654,29389,29524,29228,1277,793,806,808,870,902,970,924,1020,960,1069,1060,1028,1044,1154,1135,1156,1135,1208,1176,1211,1200,1265,1286,1260,1340,1275,1340,1392,1356,1389,1408,1447,1506,1546,1486
